time,pitch_s1,yaw_s1,roll_s1,pitch_s2,yaw_s2,roll_s2
0.0,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.0333666666666666,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.0667333333333333,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.1001,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.1334666666666666,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.1668333333333333,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.2002,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.2335666666666666,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.2669333333333333,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.3003,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.3336666666666666,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.3670333333333333,3.085,-17.169,-9.479,1.836,33.224,-4.316
0.4004,2.776,-17.399,-9.471,1.836,33.224,-4.316
0.4337666666666667,2.588,-17.635,-9.518,1.528,33.007,-4.21
0.4671333333333333,2.575,-17.478,-9.677,2.143,32.264,-3.96
0.5005000000000001,2.809,-17.261,-9.743,1.63,32.347,-4.371
0.5338666666666667,2.64,-17.346,-9.896,0.012,31.668,-4.682
0.5672333333333334,2.35,-17.054,-9.869,1.139,30.959,-4.165
0.6006,2.449,-16.632,-10.021,1.649,30.184,-3.789
0.6339666666666667,2.595,-16.742,-10.184,2.165,30.199,-3.478
0.6673333333333333,2.592,-16.842,-10.473,1.669,29.244,-3.713
0.7007,2.703,-16.594,-10.678,1.633,28.915,-3.743
0.7340666666666666,2.785,-16.549,-10.558,1.66,28.177,-3.192
0.7674333333333333,2.949,-16.477,-10.512,1.746,27.873,-3.01
0.8008000000000001,3.252,-16.266,-10.581,1.296,27.414,-3.007
0.8341666666666667,2.728,-16.615,-10.406,1.493,27.296,-2.603
0.8675333333333334,2.649,-16.55,-10.515,1.226,26.573,-2.726
